project,table,link
pic-lit,24,https://hackxx-2019.devpost.com/submissions/118036-pic-lit
Green Cart,21,https://hackxx-2019.devpost.com/submissions/118043-green-cart
Roller Toaster,31,https://hackxx-2019.devpost.com/submissions/118051-roller-toaster
HackXX2019,39,https://hackxx-2019.devpost.com/submissions/118162-hackxx2019
var eunoia;,38,https://hackxx-2019.devpost.com/submissions/118188-var-eunoia
empowHER,20,https://hackxx-2019.devpost.com/submissions/118226-empowher
RoomInventory,19,https://hackxx-2019.devpost.com/submissions/118338-roominventory
Carpool,27,https://hackxx-2019.devpost.com/submissions/118340-carpool
A Tour Through Women's History [VR],57,https://hackxx-2019.devpost.com/submissions/118341-a-tour-through-women-s-history-vr
zenTOPIA,26,https://hackxx-2019.devpost.com/submissions/118342-zentopia
GyroscopeControlledCar,25,https://hackxx-2019.devpost.com/submissions/118343-gyroscopecontrolledcar
MenateeMe,22,https://hackxx-2019.devpost.com/submissions/118345-menateeme
clueless-outfit-diary,13,https://hackxx-2019.devpost.com/submissions/118346-clueless-outfit-diary
TheVoid,43,https://hackxx-2019.devpost.com/submissions/118347-thevoid
CallOut,11,https://hackxx-2019.devpost.com/submissions/118348-callout
Sayfe,5,https://hackxx-2019.devpost.com/submissions/118349-sayfe
Amea,40,https://hackxx-2019.devpost.com/submissions/118351-amea
Fridge Finder,35,https://hackxx-2019.devpost.com/submissions/118352-fridge-finder
Carpool Buddy,49,https://hackxx-2019.devpost.com/submissions/118353-carpool-buddy
Sleepy Blob,10,https://hackxx-2019.devpost.com/submissions/118354-sleepy-blob
Serenity,58,https://hackxx-2019.devpost.com/submissions/118355-serenity
MentorXX,37,https://hackxx-2019.devpost.com/submissions/118356-mentorxx
Self Defense Trainer using opencv & GCloud AutoML Vision,6,https://hackxx-2019.devpost.com/submissions/118357-self-defense-trainer-using-opencv-gcloud-automl-vision
NightLite,3,https://hackxx-2019.devpost.com/submissions/118359-nightlite
SafeHouse,23,https://hackxx-2019.devpost.com/submissions/118360-safehouse
MyParker,4,https://hackxx-2019.devpost.com/submissions/118361-myparker
DefNote,47,https://hackxx-2019.devpost.com/submissions/118362-defnote
Ment-Her,30,https://hackxx-2019.devpost.com/submissions/118363-ment-her
Mentor-Me,46,https://hackxx-2019.devpost.com/submissions/118364-mentor-me
Maze Rescue,48,https://hackxx-2019.devpost.com/submissions/118365-maze-rescue
Art Filter,33,https://hackxx-2019.devpost.com/submissions/118366-art-filter
Arturo,14,https://hackxx-2019.devpost.com/submissions/118367-arturo
#NAME?,17,https://hackxx-2019.devpost.com/submissions/118369-telle
HackXX with ItradeNetwork,1,https://hackxx-2019.devpost.com/submissions/118370-hackxx-with-itradenetwork
StemForGirls,44,https://hackxx-2019.devpost.com/submissions/118371-stemforgirls
involved in courses,12,https://hackxx-2019.devpost.com/submissions/118372-involved-in-courses
LEVEL UP!,7,https://hackxx-2019.devpost.com/submissions/118373-level-up
SignTranslate,16,https://hackxx-2019.devpost.com/submissions/118374-signtranslate
HACKXX,28,https://hackxx-2019.devpost.com/submissions/118375-hackxx
UCSDCalorie,45,https://hackxx-2019.devpost.com/submissions/118376-ucsdcalorie
Plastic Ocean,60,https://hackxx-2019.devpost.com/submissions/118377-plastic-ocean
Lyber,8,https://hackxx-2019.devpost.com/submissions/118378-lyber
Food Selected For You,41,https://hackxx-2019.devpost.com/submissions/118379-food-selected-for-you
vfind,36,https://hackxx-2019.devpost.com/submissions/118381-vfind
Homepital,34,https://hackxx-2019.devpost.com/submissions/118382-homepital
Team-Soylent,32,https://hackxx-2019.devpost.com/submissions/118384-team-soylent
CopyPasta,18,https://hackxx-2019.devpost.com/submissions/118385-copypasta